gene_symbol,gene_length_bp
CRTC2,3656
YARS1,9862
ID3,1916
MTARC2,4695
FMOD,3858
MTFR1L,6949
SMG5,5402
STK40,10698
PRPF38A,6041
PHACTR4,7796
TAGLN2,6663
NTRK1,5209
SLC66A1,2788
USP1,7024
ARHGEF11,10022
ISG20L2,6324
FAM110D,4455
CEP170,11384
CLCNKA,5187
CCDC18,7955
DSTYK,8017
SLC35E2B,11081
HSPB7,3449
UBXN10,8696
GPR153,4339
PGD,3391
MIA3,10183
CA14,3299
C1orf87,4422
HMGN2,5072
MRPL55,2662
LZIC,6466
DNAJB4,6325
FBXO42,9938
LYPLA2,3348
MAN1C1,9709
FCRL2,5195
PLEKHM2,5197
FUBP1,8036
AK4,7854
IVNS1ABP,12525
TRAF3IP3,7750
ZNF496,11795
SH2D2A,3294
PRPF3,6049
FAM20B,6622
RPAP2,17223
CTBS,6960
SLC50A1,2345
CLCA1,4451
SORT1,9365
RC3H1,12193
C1orf216,3229
GALE,4207
SELP,4459
SLC25A33,3978
INTS3,10467
GBP1,7276
RTCA,3111
CDC73,20519
GNPAT,3323
FH,9357
B3GALT2,3548
ECHDC2,11596
MIB2,10594
TARDBP,7894
DDX59,6727
LTAP1,2742
ZBTB41,9162
SLC2A1,6614
SLC44A3,3056
CSF1,5674
RCSD1,8326
MYOM3,9800
KIF1B,18955
CD84,9255
PPM1J,2733
ZYG11B,8325
DAB1,9664
FMO4,4341
G0S2,905
FOXJ3,9529
GLMP,3471
RBP7,1134
NLRP3,5655
PLPP3,5346
MDM4,11456
ADPRS,1665
PLEKHN1,3520
KANK4,7117
DUSP10,4716
BCAR3,8530
ACBD3,3634
ORC1,4338
PERM1,4242
RNF19B,8271
DNAI4,6727
RHEX,4988
NDUFS2,8979
ADAMTS4,10465
TMEM69,4202
EMC1,15030
ADAM15,6676
SLC25A44,9250
LDLRAP1,6915
HP1BP3,11510
SHE,8800
ARV1,4774
ARID4B,11073
PIK3CD,11398
WRAP73,7641
PMF1,3083
PDZK1,5947
SESN2,3795
PLOD1,5618
ITLN1,2278
SLAMF6,2757
THBS3,4637
CLSTN1,5571
ACKR1,1520
PACC1,2927
CTPS1,12522
KIRREL1,7872
GPHRA,5975
BTF3L4,6373
SCP2,8347
TPM3,15205
CAPN8,5176
STX12,3880
PODN,17166
DHDDS,7217
GPR157,5324
DCAF8,11063
ZZZ3,10266
ANKRD65,5427
NME7,5718
LCK,3512
SH3GLB1,7119
RD3,4072
ZFP69B,3039
LYPD8,4666
PER3,8387
USF1,2549
NEK7,7078
FBXO6,2147
ST3GAL3,19691
NASP,8658
ELAVL4,8368
SOAT1,7802
PHF13,3632
MTR,19254
GNG4,5722
MOB3C,6128
KIAA0319L,22466
TNNT2,9345
TMCO4,7647
LAMB3,5328
ILF2,2346
SLC16A4,3297
PEA15,7588
PLA2G5,9937
AIRIM,5522
CTSK,8471
ATP5PB,6687
TMCC2,5851
RAB4A,4143
AKIRIN1,2692
AKR1A1,3350
BROX,7172
STMN1,7396
PLA2G2A,2921
AMY1A,3071
UROD,4029
TXLNA,7149
IQCC,2492
LRRC39,4107
NTMT2,2322
C1orf159,10322
RPS6KC1,6260
CGN,7113
TRMT13,4237
CTSS,7064
CDC42SE1,5276
TNFSF4,11948
CYB5RL,9470
NUDC,3397
CDC42BPA,14233
NHSL3,6154
CYP4X1,2450
LAMC1,8497
OMA1,6241
UBAP2L,8081
ANGPTL1,5217
VPS45,12971
PANK4,5132
ARTN,3511
UBE4B,9326
SF3A3,4513
MNDA,2077
PUM1,7286
WLS,4469
CNST,7355
RNF11,3625
C4BPA,3973
NRDC,8493
MORN1,13715
S100A5,1064
PARP1,18399
LRRC40,4451
USP48,9500
SERBP1,7727
HSD17B7,4829
CDC42,24538
GJC2,2271
CD34,9282
ZBTB7B,8539
GON4L,12076
ERRFI1,7443
TMEM125,4029
LMO4,6886
RABGGTB,5935
TM2D1,5803
FAM177B,6199
TRIM33,9837
CD101,5838
PBXIP1,4531
SIPA1L2,11535
FCGR1A,3030
KCTD3,6520
PTAFR,5308
IPP,3915
CYB5R1,5276
TINAGL1,6112
COG2,10966
DNAI3,4039
FCMR,3428
TLR5,9878
KCNK2,4294
ZMYM1,8876
TIE1,6716
ZNF692,4001
P3H1,7095
WDR47,4805
GTF2B,2524
PRKCZ,7983
TMEM183A,4145
GNL2,5766
AGO4,7423
SLC71A1,3568
ZMYM6,10398
C1QA,2957
AGL,8895
ITGA10,6244
FUCA1,2109
LRRC42,3154
HYI,3146
ENTREP3,4965
WASF2,7249
FCN3,2759
SH3BP5L,6530
CTSE,3562
RGL1,5350
PAX7,7565
SCYL3,7840
HSD11B1,1581
DARS2,7466
CD164L2,2141
TTLL10,6149
MPZL1,7156
CENPL,5282
AGO3,21191
MYBPH,2482
MRPL24,3726
SELENBP1,3574
SMIM1,3931
PEF1,2223
ZBTB40,9292
HOOK1,9562
DDR2,12119
MIGA1,10419
PABPC4,10352
KIAA2013,3281
YIPF1,7517
PGBD5,11257
PRAMEF10,2358
PGM1,4412
RBM34,2949
TMEM52,1651
ABCD3,7943
TSPAN2,3413
GSTM5,6524
NECAP2,5527
CCDC28B,5002
GCLM,5561
NFIA,59495
MKNK1,12395
CELA2A,1519
S100PBP,10786
CSDE1,14188
CSRP1,11278
MPL,3983
KHDRBS1,3820
SEMA6C,7368
CLCA4,3489
RNPEP,3749
CTTNBP2NL,8126
KCNQ4,4667
ACTN2,18156
MFN2,12200
INTS7,5560
DESI2,5008
CAPZA1,4320
FCGR2A,5494
LSM10,2286
RSPO1,4389
HCN3,4376
MAP7D1,5271
LPGAT1,9483
HMGCL,5894
ACTL8,2249
LGALS8,11071
CADM3,3994
ZSWIM5,6099
RXRG,2691
FGR,4772
PEX11B,1732
BCAS2,1472
FHAD1,13296
FBXO44,4331
NIBAN1,8547
CCN1,3703
PTBP2,20214
NBL1,11254
SAMD11,4172
HAPLN2,3229
EFHD2,2573
HENMT1,3434
CCDC24,3620
PSEN2,16873
LMNA,8695
NOC2L,7978
ELOVL1,4093
C1QC,2695
ERMAP,7845
MYBPHL,3343
NECTIN4,3633
PHTF1,8209
MGST3,12017
ACAP3,8994
TMEM39B,2919
SERINC2,3629
PPP1R12B,21151
SDF4,8253
S100A3,1604
ST7L,8310
ODR4,4323
SRSF4,8846
SH2D5,5515
MR1,9441
NIPAL3,14280
SLC22A15,5335
FYB2,4726
AMY1C,2329
NAXE,11638
ATP1A2,6327
LRIG2,12540
ZCCHC17,2825
DPYD,7601
VAMP4,5370
HHAT,7242
NBPF15,9788
GPHRB,5247
RPL11,2741
FABP3,2703
KMO,6085
GBP2,9857
S100A16,2996
NGF,6003
S100A9,744
POLR3C,12481
MTHFR,11534
CD46,15505
AP4B1,6596
ANKRD13C,6442
SYTL1,5747
ADAR,12864
ELK4,13944
DCLRE1B,4937
PPP2R5A,4005
PIGV,8510
TTC4,3532
PTPRC,17421
DNALI1,4456
ARHGEF10L,8508
BMP8A,6203
MEF2D,13312
JAK1,13686
DENND2C,7566
GJA4,2422
EXOSC10,6194
RAVER2,6320
UBE2Q1,4275
ACOT11,10843
PPOX,5084
RAB29,3904
FLVCR1,6550
EFCAB7,5789
PEAR1,5683
COPA,17703
ALDH4A1,4343
IFI44L,12017
MYOC,2275
LRRC47,4570
HCRTR1,2538
MIIP,3242
SNX7,2130
LAMC2,6975
PRXL2B,3372
ENO1,6561
ZNF326,11057
CCDC163,2822
SNAPIN,1937
TAF1A,3270
GPR137B,7002
POGK,10293
ATP8B2,7773
S100A13,7234
TADA1,3038
SNAP47,11328
TSPAN1,3547
AHCYL1,5133
JMJD4,4328
TNFRSF14,6827
DAP3,5048
YY1AP1,8892
TRAPPC12-AS1,908
LINC01247,4209
LINC02973,634
LOC124907726,3700
MSGN1,1339
EIPR1-IT1,718
HS1BP3-IT1,600
CDK8P1,601
PIK3CDP1,922
RPS25P3,375
LINC02850,1498
LOC124905951,315
LOC101928196,1709
RPS16P2,440
RPS13P4,457
LINC01866,201
CRTC1P1,1875
SLC25A5P2,897
RPL37P11,292
CISD1P1,327
RPL36AP14,318
GDF7,9267
FTH1P6,320
LINC01318,597
ZFYVE9P2,604
KCNG3,3709
FBXL12P1,939
FSHR,3160
RPS13P3,450
PGAM1P6,747
PRKCE-AS1,374
RPL21P70,531
VDAC1P13,859
DNAJB12P1,793
RPL37P13,279
PSMC1P10,1327
SUPT4H1P1,340
USP34,18443
RPL26P15,368
RPS20P9,367
MTND4P25,533
RPS15AP15,306
RPL27P5,312
LBH,4532
RPL21P37,477
ST6GALNAC2P1,836
MTND5P27,1720
LOC112268410,216
PPIAP64,483
LRRTM4-AS1,1000
ELOBP3,294
TPT1P11,498
PRKCE-AS2,464
LINC03050,1656
LINC01809,303
SMIM7P1,228
MTND6P7,524
BCL11A,24514
KMT5AP2,1047
DRD5P1,1438
RPL37P10,288
RPL12P18,325
LYARP1,1501
RPL12P19,486
SUCLA2P2,1309
MIR548BAHG,2698
RPL26P13,437
LSM3P3,306
EVA1A-AS,1185
ANKRD11P1,6848
ZNF863P,417
MTCYBP7,1134
MRPL50P1,384
ANAPC1P3,312
CRLF3P3,1219
RPS2P17,793
CHMP4AP1,580
NDUFB4P7,363
DHFRP3,559
CCDC12P1,481
LOC100631243,1319
RBX1P1,326
TACR1,5128
ABCD1P5,754
CIB4,1044
CTBP2P5,1264
ATP1B3P1,821
LDHAP3,1008
GGT8P,532
MTFR2P1,1125
LINC01867,712
LOC105374461,499
PNPP1,864
PSAT1P2,972
WBP1P2,427
CAPZBP1,201
RPL21P36,443
DNAH6,13514
RPL37P12,311
GGCTP3,339
FAM110C,4088
RPL22P11,385
TCF7L1-IT1,458
NKAIN1P2,583
DBF4P3,594
ALK,7382
ILRUNP1,868
DUXAP1,463
LDHAP7,965
CIMIP2C,2504
MTCYBP39,491
ANAPC1P5,601
RSL24D1P2,366
CENPNP1,1376
NPAS2-AS1,2110
ST6GAL2-IT1,388
IL1B,3009
RPS12P4,399
PPIAP63,264
LINC01593,388
MTND4P26,1359
MTND2P21,1042
RPL22P8,339
SMC3P1,735
SH3RF3,5948
KNOP1P3,426
TMEM182,6084
LOC100421651,1072
OTOP1P1,1779
BBIP1P1,279
AMANZI,3868
ACTR3BP2,1338
MTND5P28,1594
DPP10-AS2,624
IGKV1OR2-1,354
TACR1-AS1,3438
NT5C1B-RDH14,2150
NXPH2,2709
EIF2S2P7,987
BTF3P5,467
LINC02898,4356
MTCO1P43,488
NCKAP5-IT1,554
SRSF3P5,486
CRYGGP,145
KRT18P33,1043
GACAT1,811
PABPC1P6,1829
NDUFAF2P1,510
TMEM185B,5922
XIAPP3,795
MTND1P28,950
YY1P2,948
RPS14P4,418
STON1-GTF2A1L,4294
SOWAHC,4627
AHCYP4,1315
MTND6P9,519
SDHCP3,506
ISCA1P6,390
MAP3K20-AS1,3049
PPP1R2P5,603
SNRPGP9,225
GAPDHP57,585
MRPS18BP2,759
MTCYBP9,303
TOMM40P4,1027
DSTNP5,523
ATP5MC2P3,425
DBF4P2,1525
RPL9P13,575
LRP1B,16355
LOC100132669,698
RPSAP23,883
ACTP1,383
KCNJ3,4907
NCK2-AS1,2166
LOC107985953,20770
COPRSP1,529
SLC6A14P3,462
IGKV1OR2-2,355
RPS21P2,251
LRRC57P1,684
LOC105373575,896
JPT1P1,464
MTCO1P44,243
RPL27P7,413
RPS15AP13,326
RPS16P3,295
CBY1P1,405
TBR1,9397
MTND2P19,1012
EDDM3CP,425
LINC01832,1832
ALDH7A1P2,621
BMS1P19,393
PPIAP66,498
RPL27AP4,443
EXTL2P1,416
MTCO1P45,267
MTND1P27,902
LOC100419812,562
LINC01854,2213
RPL17P15,542
RPS20P12,356
KRT18P46,1279
LINC01790,2852
LY75-CD302,5650
MTND2P20,661
RPL15P5,637
HSPE1P9,311
MYO3B-AS1,6185
INHBB,3206
YWHAEP5,765
ZNF385B,5417
ELOAP1,2095
ARL4C,4041
SRSF3P6,406
IDI1P1,652
VPS26CP1,846
RNF103-CHMP3,1503
TPM3P8,643
MDH1B,2891
PPIAP65,492
TXNL4AP1,425
ANKRD49P1,714
PSMD14P1,901
MTND4P28,387
RNF14P1,1253
SMC4P1,527
LOC100419685,970
RPS6P2,705
MTND5P30,1731
ITPRID2-DT,3813
OR7E28P,975
LOC100131736,1941
GTF2A1L,2052
ZSWIM2,2760
LINC01826,584
RPL5P8,815
LINC03097,566
NCKAP5-AS1,1711
ITPRID2,9685
LINC01920,2528
PPIAP67,441
DNAH7,21349
DPP10,10033
VWC2L,5258
XIRP2-AS1,776
TANK-AS1,503
GLULP6,913
FTH1P20,548
SLC44A3P1,1275
VWC2L-IT1,467
HNRNPA1P47,931
IMPDH1P7,1502
MTCO3P43,771
DNAJC17P1,947
NANOGP2,727
SEC61GP1,135
GAPDHP49,961
RPL27AP3,469
KRT18P29,1267
BANF1P3,261
TBC1D8-AS1,2478
LINC01789,1196
ABCA12,9614
MTND3P10,341
LOC93463,2231
MTND4LP14,288
CRLF3P1,1284
ITM2C,2569
CEP19P1,485
OR7E89P,822
TERF1P6,505
KIAA2012,7962
RPL7P61,751
CDK8P2,547
RPS17P8,335
FABP5P10,408
AHCTF1P1,6821
MXRA7P1,511
AHCYP5,1238
ATP5PBP4,746
LIN28AP1,405
HNRNPCP2,881
MTNAP1P1,1684
LINC02991,3700
PPP3R1,3364
CACYBPP2,678
RBM43,4701
LINC01941,1000
SPHKAP,7046
HMGB1P3,616
IQCA1-AS1,489
SNF8P1,1096
RPL3P5,1232
MTND5P22,195
RNF11P1,440
MTATP6P26,662
INPP5D,8681
LINC01935,437
KDM3AP1,1239
LINC03116,569
ST13P2,1109
KRT18P19,705
YWHAZP2,728
KCTD5P1,678
MIR7515,67
LOC124900535,93
RN7SKP168,300
MIR548S,82
MIR7158,71
RN7SL140P,294
RNU6-1288P,104
LOC124900534,128
RNU6-961P,105
RN7SKP112,318
RN7SKP27,333
RNU6-1215P,102
MIR4262,54
LOC124906141,70
MIR3681,72
MIR4757,77
RNU6-843P,104
RNA5SP88,109
MIR3125,78
RNA5SP87,118
RN7SL610P,291
RNA5SP90,99
RNU6-1117P,104
MIR548AD,82
RN7SL602P,324
RNU4-63P,118
RN7SL414P,294
LOC124900542,60
RNU4-49P,140
RN7SL361P,298
LOC124900537,148
MIR4432,84
RNU1-32P,159
RNU6-634P,106
RNU6-221P,99
RN7SL18P,291
RNU6-282P,103
LOC124900528,183
RNU6-612P,102
RN7SL51P,285
MIR4431,94
MIR548BA,56
RNU6-439P,106
RN7SL531P,282
LOC124906195,219
LOC124906189,135
RNA5SP98,137
RN7SKP203,332
RNU6-827P,106
RN7SL201P,296
RNU6-685P,95
RNU6-812P,107
RN7SKP224,325
RNU6-674P,107
RN7SKP164,266
RNA5SP99,114
RNU6-1312P,108
MIR4780,81
MIR4771-1,74
RNA5SP100,110
RNU6-775P,96
MIR5696,85
RNU4-84P,139
RNU2-63P,194
SNORD89,114
RNU2-41P,178
MIR4265,99
MIR4266,55
RNU7-46P,62
RNU6-259P,107
RN7SL635P,296
RNU7-190P,61
RNU6-675P,104
RN7SL111P,285
MIR4435-2,74
VTRNA2-2P,103
RN7SKP102,315
RNA5SP102,106
MIR3679,68
RN7SKP141,338
RNA5SP103,118
RNA5SP104,118
RN7SKP286,299
MIR7157,60
RNU6-904P,101
RNU6-579P,102
RN7SKP154,290
RNU6-546P,107
RNU6-1001P,100
RNA5SP107,122
RN7SL423P,304
RN7SKP93,309
LOC124906148,103
RNA5SP108,117
RNU6-627P,102
RN7SL283P,303
RNA5SP105,113
RN7SL813P,283
LOC124906146,104
MIR4437,60
MIR548AE1,70
RNU6-915P,103
RN7SKP42,300
RNU6-989P,107
LOC124906142,68
RNU6-1045P,107
RNY4P34,95
LOC124900526,138
MIR4774,76
RNU6-766P,107
MIR4438,93
MIR1258,73
RN7SL807P,297
RNU6-624P,107
MIR5702,84
RNU6-451P,107
MIR3130-1,75
MIR3130-2,75
RN7SL834P,286
RNU6-268P,107
RN7SL32P,281
RNU6-1051P,102
MIR3133,78
RNU6-619P,108
RNU6-169P,107
RPL6P4,856
SLC66A3,2271
RNU6-1081P,107
AIDAP1,917
PPIAP60,492
LINC03037,1061
HEBP2P1,834
RPLP0P7,667
RN7SKP179,217
RAB1AP1,618
STAT4-AS1,520
RNU6-959P,107
HMGB1P27,603
RPL18AP6,531
NME2P2,395
RBISP5,634
RPL36AP15,266
RPS27AP7,455
PPIAP62,481
RN7SL817P,288
PPFIA1P1,1551
UGT1A11P,849
UGT1A13P,762
UGT1A9,2371
UGT1A6,5156
RPL17P11,544
UGT1A2P,866
UGT1A1,4446
HJURP,3821
LOC124900527,123
RNU6-127P,107
ARL14EPP1,775
RPL31P16,356
RNU6-939P,107
RNU6-1116P,99
RN7SL670P,294
MRPL50P2,482
NECAP1P2,727
TAF13P2,286
HMGA1P8,321
INO80B,1442
INO80B-WBP1,2040
TLX2,2810
G6PC2,3074
UBE2V1P6,422
LRP2,16109
ZNF804A,4527
RPL23AP33,452
EEF1A1P12,1346
CD8B2,5157
MIR1245A,70
MIR1245B,69
MIR3606,63
SNORD94,137
MIR4779,83
MRPL35,3825
LOC124900517,134
UBE2F-SCLY,3195
RNU6-1333P,93
ERFE,3584
MIR1244-1,85
RPL28P2,407
MIR1471,57
MIR562,95
NRBF2P6,788
ECEL1P3,737
ALPP,2869
ALPG,2492
ALPI,3351
PRSS56,2462
CHRNG,4362
BNIP3P46,466
RNU6-1132P,107
RNA5-8SP5,152
MIR663B,115
CDC27P1,715
FAM201B,597
RNU6-175P,107
YBX1P7,535
LINC00309,3878
MIR4433B,102
MIR4433A,81
RPL23AP37,549
RN7SKP43,320
LOC100533848,2869
RPL7L1P9,745
MIR6809,116
RNU6-848P,107
KLF2P3,1087
GPR148,1267
CYCSP8,312
ARHGAP42P1,1976
SSBP3P2,1026
MTCYBP10,650
MTND6P10,517
MTND5P23,1770
MTND4P21,1357
MTND3P18,341
MTCO3P18,761
MTATP6P4,675
MTCO2P18,658
MTCO1P18,1419
MTND2P18,1030
MTND1P26,615
MED15P3,326
NOC2LP2,1944
RHOQP2,579
TUBA3D,1572
MIR4784,77
DAPL1,1325
RGPD3,7439
UGT1A4,2565
CFC1,1672
RGPD4,7212
RNU1-93P,169
RPS28P4,210
MIR4777,86
ZBTB8OSP2,504
SNORA75,81
SNORD20,80
SNORD82,70
RNU2-22P,212
NMUR1,3221
AQP12B,3303
TANAR,2345
RN7SKP152,315
RNU6-642P,104
CDK5R2,2490
FEV,1576
MIR375,64
IHH,2473
MIR3131,63
RN7SL764P,286
MIR153-1,90
ECRG4,1705
RPL22P10,373
SRSF3P4,487
TUBA3E,1518
RHOQP3,621
DUSP28,4951
KRT18P52,846
AK2P2,405
DDX50P1,2400
RNU6-647P,107
RPL7P13,741
MTCO1P42,726
MIR8485,91
RNA5SP111,101
MAPRE1P3,796
LOC124906135,62
RNU6-613P,108
RNU6-964P,69
FBXO36-IT1,582
RNU6-1027P,107
RNY4P19,96
RNA5SP121,101
SNRPGP8,226
CCL20,1594
CRIPTOP2,562
DYTN,2790
UBQLN4P2,948
CDPF1P1,1434
PRELID1P6,654
RPL27P6,406
CSP1,778
RNU6-111P,105
RPSAP28,874
ALMS1-IT1,2105
FTH1P3,584
RNU6-986P,102
RPS17P7,418
RPL12P15,499
NPM1P32,604
RNU6-1275P,107
MBD5,24403
LOC124900532,135
USP12P2,1024
RPS29P8,171
LIMS3-LOC440895,4426
GPAA1P1,931
ZBTB45P1,1456
MIR4267,82
MIR4436B1,91
ACTR1AP1,1126
MIR4436B2,91
LOC442041,3130
ZBTB45P2,1531
MIR4440,98
MIR4441,100
HDAC4-AS2,3352
MIR4269,84
MIR2467,81
MYO3B,8236
TIGD1,6675
UBBP3,241
RPS20P13,358
USP8P2,545
TXNP5,315
CCDC150,9678
LOC124900529,183
C2orf66,1333
HNRNPA3P15,1026
RPL4P7,1115
CFAP144P2,399
SDR42E1P5,866
MIR4772,78
SLC9A4,4555
MITD1,4305
SEPHS1P6,1179
RN7SL717P,297
C2orf69,4259
MIR1301,82
TRIM64FP,1371
TRIM43,1699
UBTFL3,1024
NPM1P46,865
LOC124900524,137
RNU6-1029P,107
HSPE1-MOB4,890
CFAP210,2208
LOC124900531,132
PTCHD3P2,1205
CYB5AP2,793
NSA2P5,772
RNU6-1006P,103
RPEP5,268
EIF3EP2,1814
GCG,2378
RNA5SP112,99
STUB1P1,561
KRT8P40,563
MIR4444-1,74
DNAJC19P5,316
MIR3128,66
MIR6512,77
H3P7,394
LOC124906145,104
IFT70B,3799
IFT70A-AS1,590
IFT70A,5744
RPS26P18,348
RPL21P35,462
RPL23AP26,464
TEX44,1413
RN7SL499P,276
MIR4786,80
OR9S24P,403
OR5S1P,951
LOC124906196,228
NUDCP2,713
BRD7P6,1860
TGFA-IT1,436
GRHL1,7952
LOC124900536,115
LOC124906144,135
MIR4261,58
RN7SL66P,264
LOC124900530,134
SNORA80B,136
SPEG,17066
MIR3132,75
INHA,1636
RN7SKP213,298
DNAJB6P3,766
RPL23P4,416
SNORA70B,135
LOC100422418,621
RPS29P10,166
RNU6-1145P,107
DRG1P1,1155
RNU7-113P,62
SLC7A15P,1363
RNA5SP86,98
RHOB,2367
LOC100129456,1232
RPL5P7,813
LINC01960,1884
RPSAP24,873
RN7SL65P,315
LRRC2P1,1041
HNRNPA1P39,960
SP9,2554
RPA3P1,361
RNU6-5P,107
WIPF1-AS1,457
EEF1B2P7,676
KCNJ13,3636
H3P6,411
CHRNA1,4979
NPLP1,530
ASS1P2,1223
RNU6-851P,107
RN7SL96P,283
SOS1-IT1,1254
RNU6-198P,104
HSPE1P13,297
MTHFD2,11443
RN7SKP38,309
RNU6-136P,107
MIR9500,65
RPL23AP31,467
MIR4439,80
DIRC1,1037
RN7SL604P,296
SNORA36C,132
RPL36AP16,318
B3GALNT1P1,975
POTEJ,3370
RPL22P12,387
RPL5P9,886
ACOXL-AS1,5839
OTOF,8025
GKN1,1155
MIR3126,74
RNA5SP96,107
RNU6-1216P,107
LOC100421347,547
REG3A,1580
CTNNA2-AS1,2068
GNA13P1,588
RNU6-561P,102
MIR4264,66
MIR8080,89
RBM7P1,708
CTNNA2,7535
RNA5SP109,116
RPL31P15,338
RNU6-1122P,107
NRIR,2749
RSAD2,5659
BNIP3P45,397
TNFAIP6,1577
MIR4773-2,78
MIR4773-1,78
RN7SL124P,285
FER1L5,10449
MIR3127,76
LOC124900521,79
MOGAT1,1176
RRAS2P2,613
ATG12P2,416
ACSL3-AS1,537
KRT18P26,1281
TOR1BP1,813
TVP23BP2,615
COX20P2,358
EIF3EP3,314
SNORA70F,135
RNA5SP110,115
FLACC1,2635
SCYL2P1,2765
MTCO2P16,677
MTATP6P16,526
MTCO3P16,754
MTND3P16,344
MTND4LP16,295
MTND4P29,1372
MTND5P31,1374
ENO1P4,1785
RNU6-651P,105
RPS2P16,837
CDK15,6172
UBE2V1P11,285
RNU6-440P,105
RNU6-936P,107
DNAJC27,5624
RPS13P5,267
SNORD14,90
RN7SL856P,298
SUCLA2P3,1357
SFT2D3,3746
RNY4P7,96
ZFP91P1,1158
RNU6-395P,106
RPS26P19,349
IGKV1OR2-108,353
LINC01594,1381
SETD6P1,317
WASF1P1,1131
SULT1C2P2,294
GMCL1P2,823
POTEF,4704
RNU6-1049P,107
RBM44,6049
DNAJB1P1,1024
RNA5SP97,84
RNU2-9P,145
KIF5C,33151
FAM8A3P,844
RPL17P13,531
RNU6-601P,107
LINC01818,1766
MTLN,2051
LRRTM4,5444
FZD7,4587
ANKRD30BL,4947
CYP26B1,4839
CMPK2,4390
RNU6-31P,108
BICD1P1,1222
RNA5SP115,107
RNU6-312P,107
RNU6-762P,102
HNRNPA1P35,963
RPL23AP30,501
RNU6-1206P,103
RPL17P10,555
IMPDH1P10,1542
CFLAR-AS1,4334
RNU7-45P,63
RPL38P5,197
MTND5P25,799
MTND4P23,1363
MTND4LP13,298
LOC100421122,1158
RN7SKP66,231
RNU6-1048P,107
RN7SL455P,282
RNU6-566P,107
C1GALT1C1L,1279
KRT8P15,1451
KRT8P52,1296
RPL7P14,741
LOC124900525,134
LOC100419679,1090
RPL23AP36,458
RPL12P16,498
RN7SKP83,178
ITGA4,10654
SAP18P2,459
RNU6ATAC19P,110
MRPL45P1,914
RNU6-1168P,104
RNU6-1007P,107
RPL38P6,203
FOXI3,2841
SPMIP9,798
MIR4436A,85
IGKC,523
IGKJ5,38
IGKJ4,37
IGKJ3,38
IGKJ2,39
IGKJ1,38
IGKV4-1,538
RPL23AP92,255
RN7SL470P,259
PCBP1,1727
MIR1285-2,88
RPL39P15,156
RPS26P20,348
DAP3P2,510
RPS15P4,447
C2orf74,1517
RNU6-436P,114
HOXD13,2416
HOXD12,2577
HOXD11,2116
HOXD10,2488
HOXD9,1871
HOXD8,2629
MIR10B,110
HOXD4,1136
MIR7704,59
RPSAP25,883
AFF3,15701
LONRF2,15117
CYCSP7,291
RALBP1P2,760
ASNSD1,2485
ASDURF,705
ANKAR,5758
RNU6-512P,103
MIR128-1,82
LCT,6580
LOC124900533,134
TM4SF20,2875
MIR5703,56
TPM3P7,732
NDUFB4P4,243
TRMT112P6,372
RNU6-942P,107
RPS2P15,820
EMP2P1,352
SMARCE1P6,1216
PPIL1P1,499
GAREM2,5942
COL4A4,11820
RTP5,2606
LOC285097,4805
CICP10,198
RPL23AP88,454
MIR6811,58
SCN2A,24087
KCNK12,14022
VN1R18P,902
RNU4-48P,182
EIF2AK3,20691
CERKL,6400
NEUROD1,8208
SP3,16892
UGT1A3,2431
TRIB2,4567
UGT1A8,2409
UGT1A5,2431
UGT1A7,4205
RAB6D,3677
IGKV1-6,380
IGKV3-7,445
IGKV1-8,398
IGKV1-9,409
IGKV2-10,351
IGKV3-11,392
IGKV1-12,398
IGKV1-13,347
IGKV2-14,347
IGKV3-15,442
IGKV1-16,378
IGKV1-17,378
IGKV2-18,343
IGKV2-19,283
IGKV3-20,400
IGKV6-21,406
IGKV1-22,326
IGKV2-23,323
IGKV2-24,390
IGKV3-25,253
IGKV2-26,343
IGKV1-27,382
IGKV2-28,390
IGKV2-29,372
IGKV2-30,390
IGKV3-31,329
IGKV1-32,311
IGKV1-33,382
IGKV3-34,293
IGKV1-35,285
IGKV2-36,223
IGKV1-37,398
IGKV2-38,247
IGKV1-39,398
IGKV2-40,314
5S_rRNA,119
IGKV1D-39,376
IGKV2D-38,240
IGKV1D-37,353
IGKV2D-36,226
IGKV1D-35,271
IGKV3D-34,302
IGKV1D-33,440
IGKV1D-32,318
IGKV3D-31,281
IGKV2D-30,395
IGKV2D-29,390
IGKV2D-28,396
IGKV1D-27,335
IGKV2D-26,390
IGKV3D-25,235
IGKV2D-24,390
IGKV2D-23,286
IGKV1D-22,324
IGKV6D-21,409
IGKV3D-20,445
IGKV2D-19,262
IGKV2D-18,375
IGKV6D-41,371
IGKV1D-17,532
IGKV1D-16,378
IGKV3D-15,396
IGKV2D-14,355
IGKV1D-13,376
IGKV1D-12,371
IGKV3D-11,444
IGKV2D-10,281
IGKV1D-42,373
IGKV1D-43,532
IGKV1D-8,534
IGKV3D-7,384
IGKV1OR2-118,347
CNTNAP5,11381
NBEAL1,26515
ASPRV1,1543
C2orf81,3023
MIR4783,82
ALMS1,22670
SNRPEP5,278
HMGB1P25,607
KCNE4,3748
MIR558,94
MIR4765,77
SCARNA5,276
SCARNA6,265
SAG,11885
NEB,33502
MOGS,3584
PSMA2P3,675
RPL39P14,154
SNORD70,88
SNORD70B,85
SNORD11B,90
SNORD11,84
RN7SL753P,290
PIMREGP1,704
RN7SL40P,342
BMPR2,12502
H3P8,332
RPL13AP12,589
MTCO1P17,491
MTCO2P17,677
